cuda
Loading datasets
96268
Loading existing ConvGRU model
Loading existing readout
| epoch   0 | running loss 5183.6878 | train accuracy 0.00000 |match accuracy 0.07051 | mismatch accuracy 0.07263 |control image alignment 0.07410 |control audio alignment 0.09473
| epoch  21 | running loss 1642.7559 | train accuracy 0.00000 |match accuracy 0.47869 | mismatch accuracy 0.96189 |control image alignment 0.48366 |control audio alignment 0.09721
| epoch  22 | running loss 1633.6725 | train accuracy 0.00000 |match accuracy 0.48550 | mismatch accuracy 0.95867 |control image alignment 0.48753 |control audio alignment 0.10191
| epoch  23 | running loss 1615.5739 | train accuracy 0.00000 |match accuracy 0.48799 | mismatch accuracy 0.96410 |control image alignment 0.49388 |control audio alignment 0.09601
| epoch  24 | running loss 1617.7686 | train accuracy 0.00000 |match accuracy 0.48863 | mismatch accuracy 0.96483 |control image alignment 0.49121 |control audio alignment 0.09850
| epoch  25 | running loss 1600.5579 | train accuracy 0.00000 |match accuracy 0.49673 | mismatch accuracy 0.96207 |control image alignment 0.49885 |control audio alignment 0.09878
| epoch  26 | running loss 1603.8401 | train accuracy 0.00000 |match accuracy 0.49765 | mismatch accuracy 0.96336 |control image alignment 0.48734 |control audio alignment 0.10052
| epoch  27 | running loss 1597.4361 | train accuracy 0.00000 |match accuracy 0.49010 | mismatch accuracy 0.96483 |control image alignment 0.49572 |control audio alignment 0.10255
| epoch  28 | running loss 1589.3026 | train accuracy 0.00000 |match accuracy 0.48826 | mismatch accuracy 0.96437 |control image alignment 0.49461 |control audio alignment 0.09850
| epoch  29 | running loss 1580.2980 | train accuracy 0.00000 |match accuracy 0.48403 | mismatch accuracy 0.96585 |control image alignment 0.48992 |control audio alignment 0.10043
| epoch  30 | running loss 1564.5899 | train accuracy 0.00000 |match accuracy 0.48246 | mismatch accuracy 0.96824 |control image alignment 0.49241 |control audio alignment 0.09758
| epoch  31 | running loss 1566.8079 | train accuracy 0.00000 |match accuracy 0.48375 | mismatch accuracy 0.96658 |control image alignment 0.48541 |control audio alignment 0.10154
| epoch  32 | running loss 1554.1806 | train accuracy 0.00000 |match accuracy 0.48587 | mismatch accuracy 0.96778 |control image alignment 0.49277 |control audio alignment 0.10227
| epoch  33 | running loss 1560.3768 | train accuracy 0.00000 |match accuracy 0.49158 | mismatch accuracy 0.96493 |control image alignment 0.49001 |control audio alignment 0.09859
| epoch  34 | running loss 1552.2877 | train accuracy 0.00000 |match accuracy 0.49517 | mismatch accuracy 0.96981 |control image alignment 0.49020 |control audio alignment 0.10025
| epoch  35 | running loss 1548.7625 | train accuracy 0.00000 |match accuracy 0.48403 | mismatch accuracy 0.96861 |control image alignment 0.48523 |control audio alignment 0.10062
| epoch  36 | running loss 1544.6409 | train accuracy 0.00000 |match accuracy 0.47694 | mismatch accuracy 0.96852 |control image alignment 0.48725 |control audio alignment 0.09868
| epoch  37 | running loss 1536.1264 | train accuracy 0.00000 |match accuracy 0.49701 | mismatch accuracy 0.96732 |control image alignment 0.49461 |control audio alignment 0.10062
| epoch  38 | running loss 1532.1743 | train accuracy 0.00000 |match accuracy 0.48983 | mismatch accuracy 0.96796 |control image alignment 0.48679 |control audio alignment 0.09859
| epoch  39 | running loss 1533.5602 | train accuracy 0.00000 |match accuracy 0.49029 | mismatch accuracy 0.97137 |control image alignment 0.48992 |control audio alignment 0.09924
| epoch  40 | running loss 1520.1350 | train accuracy 0.00000 |match accuracy 0.48265 | mismatch accuracy 0.96815 |control image alignment 0.48430 |control audio alignment 0.09988
| epoch  41 | running loss 1524.5694 | train accuracy 0.00000 |match accuracy 0.48191 | mismatch accuracy 0.97054 |control image alignment 0.48670 |control audio alignment 0.09500
| epoch  42 | running loss 1522.2355 | train accuracy 0.00000 |match accuracy 0.48366 | mismatch accuracy 0.96806 |control image alignment 0.48928 |control audio alignment 0.09767
| epoch  43 | running loss 1512.7523 | train accuracy 0.00000 |match accuracy 0.48762 | mismatch accuracy 0.97146 |control image alignment 0.49305 |control audio alignment 0.10108
| epoch  44 | running loss 1513.7192 | train accuracy 0.00000 |match accuracy 0.48679 | mismatch accuracy 0.97174 |control image alignment 0.49415 |control audio alignment 0.09933
| epoch  45 | running loss 1511.8136 | train accuracy 0.00000 |match accuracy 0.49093 | mismatch accuracy 0.96990 |control image alignment 0.49139 |control audio alignment 0.09887
| epoch  46 | running loss 1512.0880 | train accuracy 0.00000 |match accuracy 0.48974 | mismatch accuracy 0.97450 |control image alignment 0.49250 |control audio alignment 0.10025
| epoch  47 | running loss 1496.6900 | train accuracy 0.00000 |match accuracy 0.49498 | mismatch accuracy 0.97238 |control image alignment 0.49333 |control audio alignment 0.10098
| epoch  48 | running loss 1502.2495 | train accuracy 0.00000 |match accuracy 0.48688 | mismatch accuracy 0.97395 |control image alignment 0.48863 |control audio alignment 0.10145
| epoch  49 | running loss 1507.7089 | train accuracy 0.00000 |match accuracy 0.48863 | mismatch accuracy 0.97211 |control image alignment 0.48974 |control audio alignment 0.09942
Completed for graph brainlike with seed 1.
cuda
Loading datasets
96268
Loading existing ConvGRU model
Loading existing readout
| epoch   0 | running loss 5207.3383 | train accuracy 0.00000 |match accuracy 0.08893 | mismatch accuracy 0.08883 |control image alignment 0.08902 |control audio alignment 0.09473
| epoch   1 | running loss 2997.2865 | train accuracy 0.00000 |match accuracy 0.41048 | mismatch accuracy 0.66170 |control image alignment 0.40845 |control audio alignment 0.10301
| epoch   2 | running loss 2383.3684 | train accuracy 0.00000 |match accuracy 0.45310 | mismatch accuracy 0.83771 |control image alignment 0.46203 |control audio alignment 0.10145
| epoch   3 | running loss 2169.2801 | train accuracy 0.00000 |match accuracy 0.46074 | mismatch accuracy 0.89607 |control image alignment 0.46691 |control audio alignment 0.09859
| epoch   4 | running loss 2059.2818 | train accuracy 0.00000 |match accuracy 0.46506 | mismatch accuracy 0.90785 |control image alignment 0.48182 |control audio alignment 0.10108
| epoch   5 | running loss 1974.8285 | train accuracy 0.00000 |match accuracy 0.46902 | mismatch accuracy 0.92424 |control image alignment 0.47906 |control audio alignment 0.09924
| epoch   6 | running loss 1930.1468 | train accuracy 0.00000 |match accuracy 0.46755 | mismatch accuracy 0.93317 |control image alignment 0.47280 |control audio alignment 0.10043
| epoch   7 | running loss 1866.1749 | train accuracy 0.00000 |match accuracy 0.46470 | mismatch accuracy 0.93878 |control image alignment 0.48090 |control audio alignment 0.09868
| epoch   8 | running loss 1843.9617 | train accuracy 0.00000 |match accuracy 0.47731 | mismatch accuracy 0.93878 |control image alignment 0.48016 |control audio alignment 0.10209
| epoch   9 | running loss 1803.0204 | train accuracy 0.00000 |match accuracy 0.47445 | mismatch accuracy 0.94606 |control image alignment 0.49498 |control audio alignment 0.10283
| epoch  10 | running loss 1773.4760 | train accuracy 0.00000 |match accuracy 0.48145 | mismatch accuracy 0.94578 |control image alignment 0.48311 |control audio alignment 0.09786
| epoch  11 | running loss 1760.8857 | train accuracy 0.00000 |match accuracy 0.47648 | mismatch accuracy 0.94532 |control image alignment 0.47860 |control audio alignment 0.10218
| epoch  12 | running loss 1733.1053 | train accuracy 0.00000 |match accuracy 0.47519 | mismatch accuracy 0.95278 |control image alignment 0.49443 |control audio alignment 0.09859
| epoch  13 | running loss 1723.3356 | train accuracy 0.00000 |match accuracy 0.48670 | mismatch accuracy 0.95701 |control image alignment 0.48946 |control audio alignment 0.10494
| epoch  14 | running loss 1710.6814 | train accuracy 0.00000 |match accuracy 0.47795 | mismatch accuracy 0.95305 |control image alignment 0.48780 |control audio alignment 0.10006
| epoch  15 | running loss 1685.9943 | train accuracy 0.00000 |match accuracy 0.48440 | mismatch accuracy 0.95637 |control image alignment 0.48486 |control audio alignment 0.09850
| epoch  16 | running loss 1678.3854 | train accuracy 0.00000 |match accuracy 0.48154 | mismatch accuracy 0.95867 |control image alignment 0.48210 |control audio alignment 0.10006
| epoch  17 | running loss 1663.8153 | train accuracy 0.00000 |match accuracy 0.48835 | mismatch accuracy 0.95793 |control image alignment 0.48403 |control audio alignment 0.09822
| epoch  18 | running loss 1646.7870 | train accuracy 0.00000 |match accuracy 0.47979 | mismatch accuracy 0.95416 |control image alignment 0.48200 |control audio alignment 0.09693
| epoch  19 | running loss 1643.4021 | train accuracy 0.00000 |match accuracy 0.47961 | mismatch accuracy 0.96391 |control image alignment 0.48688 |control audio alignment 0.09988
| epoch  20 | running loss 1624.3533 | train accuracy 0.00000 |match accuracy 0.47841 | mismatch accuracy 0.96042 |control image alignment 0.48541 |control audio alignment 0.10098
| epoch  21 | running loss 1622.1187 | train accuracy 0.00000 |match accuracy 0.47694 | mismatch accuracy 0.96189 |control image alignment 0.49986 |control audio alignment 0.09979
| epoch  22 | running loss 1614.9619 | train accuracy 0.00000 |match accuracy 0.48771 | mismatch accuracy 0.96382 |control image alignment 0.49461 |control audio alignment 0.10098
| epoch  23 | running loss 1599.1297 | train accuracy 0.00000 |match accuracy 0.48302 | mismatch accuracy 0.96401 |control image alignment 0.49185 |control audio alignment 0.10237
| epoch  24 | running loss 1595.4085 | train accuracy 0.00000 |match accuracy 0.47712 | mismatch accuracy 0.96373 |control image alignment 0.49195 |control audio alignment 0.10439
| epoch  25 | running loss 1589.0975 | train accuracy 0.00000 |match accuracy 0.48596 | mismatch accuracy 0.96741 |control image alignment 0.48928 |control audio alignment 0.09960
| epoch  26 | running loss 1588.0549 | train accuracy 0.00000 |match accuracy 0.48826 | mismatch accuracy 0.96603 |control image alignment 0.49084 |control audio alignment 0.10319
| epoch  27 | running loss 1578.2645 | train accuracy 0.00000 |match accuracy 0.48127 | mismatch accuracy 0.96879 |control image alignment 0.48569 |control audio alignment 0.09758
| epoch  28 | running loss 1577.2724 | train accuracy 0.00000 |match accuracy 0.48486 | mismatch accuracy 0.96686 |control image alignment 0.48817 |control audio alignment 0.09832
| epoch  29 | running loss 1577.7566 | train accuracy 0.00000 |match accuracy 0.48228 | mismatch accuracy 0.96290 |control image alignment 0.48145 |control audio alignment 0.09887
| epoch  30 | running loss 1573.7775 | train accuracy 0.00000 |match accuracy 0.48688 | mismatch accuracy 0.96815 |control image alignment 0.49388 |control audio alignment 0.10062
| epoch  31 | running loss 1562.5776 | train accuracy 0.00000 |match accuracy 0.48587 | mismatch accuracy 0.96612 |control image alignment 0.48670 |control audio alignment 0.10255
| epoch  32 | running loss 1557.0169 | train accuracy 0.00000 |match accuracy 0.48854 | mismatch accuracy 0.97220 |control image alignment 0.49121 |control audio alignment 0.10034
| epoch  33 | running loss 1545.8254 | train accuracy 0.00000 |match accuracy 0.49241 | mismatch accuracy 0.96704 |control image alignment 0.48440 |control audio alignment 0.10117
| epoch  34 | running loss 1543.7378 | train accuracy 0.00000 |match accuracy 0.48338 | mismatch accuracy 0.96953 |control image alignment 0.49241 |control audio alignment 0.10163
| epoch  35 | running loss 1550.1399 | train accuracy 0.00000 |match accuracy 0.48688 | mismatch accuracy 0.96760 |control image alignment 0.48256 |control audio alignment 0.09878
| epoch  36 | running loss 1542.7394 | train accuracy 0.00000 |match accuracy 0.48716 | mismatch accuracy 0.96879 |control image alignment 0.48946 |control audio alignment 0.09914
| epoch  37 | running loss 1533.2755 | train accuracy 0.00000 |match accuracy 0.48081 | mismatch accuracy 0.96677 |control image alignment 0.48440 |control audio alignment 0.09684
| epoch  38 | running loss 1530.1478 | train accuracy 0.00000 |match accuracy 0.48633 | mismatch accuracy 0.97174 |control image alignment 0.48421 |control audio alignment 0.10080
| epoch  39 | running loss 1529.9500 | train accuracy 0.00000 |match accuracy 0.48403 | mismatch accuracy 0.96493 |control image alignment 0.48651 |control audio alignment 0.09795
| epoch  40 | running loss 1517.5839 | train accuracy 0.00000 |match accuracy 0.47961 | mismatch accuracy 0.97137 |control image alignment 0.48219 |control audio alignment 0.10135
| epoch  41 | running loss 1524.4973 | train accuracy 0.00000 |match accuracy 0.48762 | mismatch accuracy 0.97174 |control image alignment 0.48955 |control audio alignment 0.09629
| epoch  42 | running loss 1518.0748 | train accuracy 0.00000 |match accuracy 0.48145 | mismatch accuracy 0.96935 |control image alignment 0.50364 |control audio alignment 0.09896
| epoch  43 | running loss 1516.0459 | train accuracy 0.00000 |match accuracy 0.48845 | mismatch accuracy 0.96861 |control image alignment 0.48596 |control audio alignment 0.10540
| epoch  44 | running loss 1513.4613 | train accuracy 0.00000 |match accuracy 0.49268 | mismatch accuracy 0.96907 |control image alignment 0.48421 |control audio alignment 0.10034
| epoch  45 | running loss 1504.9655 | train accuracy 0.00000 |match accuracy 0.49112 | mismatch accuracy 0.97202 |control image alignment 0.48937 |control audio alignment 0.09730
| epoch  46 | running loss 1505.6827 | train accuracy 0.00000 |match accuracy 0.48145 | mismatch accuracy 0.97376 |control image alignment 0.49397 |control audio alignment 0.10283
| epoch  47 | running loss 1494.5423 | train accuracy 0.00000 |match accuracy 0.48016 | mismatch accuracy 0.97266 |control image alignment 0.49443 |control audio alignment 0.10135
| epoch  48 | running loss 1501.1137 | train accuracy 0.00000 |match accuracy 0.48541 | mismatch accuracy 0.97386 |control image alignment 0.49959 |control audio alignment 0.09979
| epoch  49 | running loss 1499.4150 | train accuracy 0.00000 |match accuracy 0.48605 | mismatch accuracy 0.97248 |control image alignment 0.49646 |control audio alignment 0.10200
Completed for graph brainlike with seed 2.
cuda
Loading datasets
96268
Loading existing ConvGRU model
Loading existing readout
| epoch   0 | running loss 6217.2691 | train accuracy 0.00000 |match accuracy 0.10485 | mismatch accuracy 0.10108 |control image alignment 0.11415 |control audio alignment 0.09970
| epoch   1 | running loss 3377.0548 | train accuracy 0.00000 |match accuracy 0.36841 | mismatch accuracy 0.52398 |control image alignment 0.36638 |control audio alignment 0.10043
| epoch   2 | running loss 2523.0391 | train accuracy 0.00000 |match accuracy 0.44500 | mismatch accuracy 0.82270 |control image alignment 0.44702 |control audio alignment 0.10448
| epoch   3 | running loss 2252.3962 | train accuracy 0.00000 |match accuracy 0.45291 | mismatch accuracy 0.88567 |control image alignment 0.46755 |control audio alignment 0.10034
| epoch   4 | running loss 2124.1759 | train accuracy 0.00000 |match accuracy 0.46405 | mismatch accuracy 0.90813 |control image alignment 0.48163 |control audio alignment 0.10356
| epoch   5 | running loss 2048.1048 | train accuracy 0.00000 |match accuracy 0.46194 | mismatch accuracy 0.89911 |control image alignment 0.47740 |control audio alignment 0.09804
| epoch   6 | running loss 1976.4219 | train accuracy 0.00000 |match accuracy 0.47151 | mismatch accuracy 0.92129 |control image alignment 0.47639 |control audio alignment 0.10006
| epoch   7 | running loss 1936.4145 | train accuracy 0.00000 |match accuracy 0.47795 | mismatch accuracy 0.92875 |control image alignment 0.47804 |control audio alignment 0.10218
| epoch   8 | running loss 1886.9550 | train accuracy 0.00000 |match accuracy 0.47584 | mismatch accuracy 0.93354 |control image alignment 0.48762 |control audio alignment 0.10181
| epoch   9 | running loss 1867.1628 | train accuracy 0.00000 |match accuracy 0.48016 | mismatch accuracy 0.93795 |control image alignment 0.48513 |control audio alignment 0.09896
| epoch  10 | running loss 1827.4786 | train accuracy 0.00000 |match accuracy 0.48081 | mismatch accuracy 0.94118 |control image alignment 0.48541 |control audio alignment 0.10172
| epoch  11 | running loss 1810.5050 | train accuracy 0.00000 |match accuracy 0.46948 | mismatch accuracy 0.93998 |control image alignment 0.47832 |control audio alignment 0.10191
| epoch  12 | running loss 1784.0147 | train accuracy 0.00000 |match accuracy 0.47547 | mismatch accuracy 0.94550 |control image alignment 0.48780 |control audio alignment 0.10006
| epoch  13 | running loss 1767.3383 | train accuracy 0.00000 |match accuracy 0.48532 | mismatch accuracy 0.94771 |control image alignment 0.49029 |control audio alignment 0.09611
| epoch  14 | running loss 1744.7366 | train accuracy 0.00000 |match accuracy 0.47933 | mismatch accuracy 0.94596 |control image alignment 0.48348 |control audio alignment 0.09951
| epoch  15 | running loss 1734.0235 | train accuracy 0.00000 |match accuracy 0.48071 | mismatch accuracy 0.95093 |control image alignment 0.49296 |control audio alignment 0.09988
| epoch  16 | running loss 1721.0880 | train accuracy 0.00000 |match accuracy 0.47013 | mismatch accuracy 0.94679 |control image alignment 0.49517 |control audio alignment 0.10126
| epoch  17 | running loss 1704.3768 | train accuracy 0.00000 |match accuracy 0.48348 | mismatch accuracy 0.95425 |control image alignment 0.48283 |control audio alignment 0.10052
| epoch  18 | running loss 1690.9210 | train accuracy 0.00000 |match accuracy 0.47924 | mismatch accuracy 0.95600 |control image alignment 0.49563 |control audio alignment 0.10080
| epoch  19 | running loss 1685.1153 | train accuracy 0.00000 |match accuracy 0.47851 | mismatch accuracy 0.95360 |control image alignment 0.48817 |control audio alignment 0.10016
| epoch  20 | running loss 1668.5545 | train accuracy 0.00000 |match accuracy 0.47832 | mismatch accuracy 0.95545 |control image alignment 0.48569 |control audio alignment 0.10181
| epoch  21 | running loss 1662.1039 | train accuracy 0.00000 |match accuracy 0.48274 | mismatch accuracy 0.95379 |control image alignment 0.48430 |control audio alignment 0.09850
| epoch  22 | running loss 1648.1439 | train accuracy 0.00000 |match accuracy 0.47814 | mismatch accuracy 0.95793 |control image alignment 0.48882 |control audio alignment 0.10108
| epoch  23 | running loss 1645.2607 | train accuracy 0.00000 |match accuracy 0.47676 | mismatch accuracy 0.95480 |control image alignment 0.49241 |control audio alignment 0.10006
| epoch  24 | running loss 1629.2216 | train accuracy 0.00000 |match accuracy 0.47519 | mismatch accuracy 0.96143 |control image alignment 0.50198 |control audio alignment 0.10126
| epoch  25 | running loss 1621.4410 | train accuracy 0.00000 |match accuracy 0.48854 | mismatch accuracy 0.95940 |control image alignment 0.49342 |control audio alignment 0.10154
| epoch  26 | running loss 1629.7866 | train accuracy 0.00000 |match accuracy 0.48596 | mismatch accuracy 0.95591 |control image alignment 0.48357 |control audio alignment 0.10200
| epoch  27 | running loss 1602.5058 | train accuracy 0.00000 |match accuracy 0.47252 | mismatch accuracy 0.96152 |control image alignment 0.49388 |control audio alignment 0.09868
| epoch  28 | running loss 1609.1006 | train accuracy 0.00000 |match accuracy 0.48863 | mismatch accuracy 0.96299 |control image alignment 0.49038 |control audio alignment 0.09565
| epoch  29 | running loss 1599.9230 | train accuracy 0.00000 |match accuracy 0.48817 | mismatch accuracy 0.96391 |control image alignment 0.48983 |control audio alignment 0.09988
| epoch  30 | running loss 1593.3832 | train accuracy 0.00000 |match accuracy 0.48320 | mismatch accuracy 0.96318 |control image alignment 0.48753 |control audio alignment 0.09979
| epoch  31 | running loss 1582.5353 | train accuracy 0.00000 |match accuracy 0.47869 | mismatch accuracy 0.96226 |control image alignment 0.49222 |control audio alignment 0.09960
| epoch  32 | running loss 1574.0817 | train accuracy 0.00000 |match accuracy 0.48311 | mismatch accuracy 0.96493 |control image alignment 0.49204 |control audio alignment 0.09914
| epoch  33 | running loss 1571.9331 | train accuracy 0.00000 |match accuracy 0.48384 | mismatch accuracy 0.96668 |control image alignment 0.49277 |control audio alignment 0.09905
| epoch  34 | running loss 1570.7205 | train accuracy 0.00000 |match accuracy 0.48108 | mismatch accuracy 0.96364 |control image alignment 0.48154 |control audio alignment 0.10191
| epoch  35 | running loss 1562.3815 | train accuracy 0.00000 |match accuracy 0.48624 | mismatch accuracy 0.96585 |control image alignment 0.49784 |control audio alignment 0.09970
| epoch  36 | running loss 1563.1649 | train accuracy 0.00000 |match accuracy 0.48053 | mismatch accuracy 0.96419 |control image alignment 0.49148 |control audio alignment 0.09979
| epoch  37 | running loss 1555.5972 | train accuracy 0.00000 |match accuracy 0.47703 | mismatch accuracy 0.96566 |control image alignment 0.49323 |control audio alignment 0.09887
| epoch  38 | running loss 1551.7747 | train accuracy 0.00000 |match accuracy 0.47998 | mismatch accuracy 0.96668 |control image alignment 0.49250 |control audio alignment 0.10034
| epoch  39 | running loss 1548.3490 | train accuracy 0.00000 |match accuracy 0.48789 | mismatch accuracy 0.96723 |control image alignment 0.50115 |control audio alignment 0.09509
| epoch  40 | running loss 1538.9674 | train accuracy 0.00000 |match accuracy 0.48394 | mismatch accuracy 0.96658 |control image alignment 0.49360 |control audio alignment 0.10375
| epoch  41 | running loss 1535.1038 | train accuracy 0.00000 |match accuracy 0.47528 | mismatch accuracy 0.96815 |control image alignment 0.49600 |control audio alignment 0.10080
| epoch  42 | running loss 1531.5516 | train accuracy 0.00000 |match accuracy 0.48587 | mismatch accuracy 0.97036 |control image alignment 0.48605 |control audio alignment 0.09933
| epoch  43 | running loss 1538.1416 | train accuracy 0.00000 |match accuracy 0.48338 | mismatch accuracy 0.96502 |control image alignment 0.49489 |control audio alignment 0.09795
| epoch  44 | running loss 1531.2335 | train accuracy 0.00000 |match accuracy 0.49231 | mismatch accuracy 0.96603 |control image alignment 0.49581 |control audio alignment 0.09924
| epoch  45 | running loss 1523.2197 | train accuracy 0.00000 |match accuracy 0.49047 | mismatch accuracy 0.97128 |control image alignment 0.49241 |control audio alignment 0.09859
| epoch  46 | running loss 1523.0696 | train accuracy 0.00000 |match accuracy 0.48311 | mismatch accuracy 0.96778 |control image alignment 0.48918 |control audio alignment 0.09878
| epoch  47 | running loss 1520.8291 | train accuracy 0.00000 |match accuracy 0.48974 | mismatch accuracy 0.96842 |control image alignment 0.50023 |control audio alignment 0.10117
| epoch  48 | running loss 1514.0365 | train accuracy 0.00000 |match accuracy 0.49268 | mismatch accuracy 0.96750 |control image alignment 0.49056 |control audio alignment 0.09758
| epoch  49 | running loss 1512.3055 | train accuracy 0.00000 |match accuracy 0.47906 | mismatch accuracy 0.96925 |control image alignment 0.49305 |control audio alignment 0.10522
Completed for graph brainlike with seed 3.
All runs completed successfully.

======== GPU REPORT ========

==============NVSMI LOG==============

Timestamp                                 : Wed Nov 27 08:59:56 2024
Driver Version                            : 560.35.03
CUDA Version                              : 12.6

Attached GPUs                             : 1
GPU 00000000:A4:00.0
    Accounting Mode                       : Enabled
    Accounting Mode Buffer Size           : 4000
    Accounted Processes
        Process ID                        : 2764192
            GPU Utilization               : 33 %
            Memory Utilization            : 9 %
            Max memory usage              : 1340 MiB
            Time                          : 7398186 ms
            Is Running                    : 0
        Process ID                        : 2797775
            GPU Utilization               : 33 %
            Memory Utilization            : 9 %
            Max memory usage              : 1340 MiB
            Time                          : 7592827 ms
            Is Running                    : 0
        Process ID                        : 2831970
            GPU Utilization               : 33 %
            Memory Utilization            : 9 %
            Max memory usage              : 1340 MiB
            Time                          : 7465809 ms
            Is Running                    : 0

Wed Nov 27 08:59:56 2024       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 560.35.03              Driver Version: 560.35.03      CUDA Version: 12.6     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  Quadro RTX 8000                On  |   00000000:A4:00.0 Off |                    0 |
| 34%   34C    P2             64W /  235W |       1MiB /  46080MiB |      9%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI        PID   Type   Process name                              GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
Loading datasets
Architecture(
  (dropout): Dropout(p=0.25, inplace=False)
  (cell_list): ModuleList(
    (0): ConvGRUBasalTopDownCell(
      (conv_gates): Conv2d(11, 20, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), bias=False)
      (conv_can): Conv2d(11, 10, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), bias=False)
    )
    (1-2): 2 x ConvGRUBasalTopDownCell(
      (conv_gates): Conv2d(20, 20, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), bias=False)
      (conv_can): Conv2d(20, 10, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), bias=False)
    )
    (3): ConvGRUBasalTopDownCell(
      (conv_gates): Conv2d(20, 20, kernel_size=(1, 1), stride=(1, 1), bias=False)
      (conv_can): Conv2d(20, 10, kernel_size=(1, 1), stride=(1, 1), bias=False)
    )
    (4): ConvGRUBasalTopDownCell(
      (conv_gates): Conv2d(11, 20, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), bias=False)
